Ma,Re_L,alpha_L,c_i,c_r,family
3,300.000000,0.073103,-3.97960924e-02,8.36593943e-02,TS
3,337.485919,0.073103,-3.70102634e-02,8.20119777e-02,TS
3,379.655818,0.073103,-3.44753759e-02,8.04465470e-02,TS
3,427.094976,0.073103,-3.21624194e-02,7.89555541e-02,TS
3,480.461801,0.073103,-3.00464803e-02,7.75332507e-02,TS
3,540.496975,0.073103,-2.81060844e-02,7.61751147e-02,TS
3,608.033727,0.073103,-2.63226488e-02,7.48774577e-02,TS
3,684.009404,0.073103,-2.46800261e-02,7.36371508e-02,TS
3,769.478474,0.073103,-2.31641183e-02,7.24514326e-02,TS
3,865.627167,0.073103,-2.17625423e-02,7.13177819e-02,TS
3,973.789933,0.073103,-2.04643407e-02,7.02338459e-02,TS
3,1095.467968,0.073103,-1.92597404e-02,6.91974198e-02,TS
3,1232.350046,0.073103,-1.81399673e-02,6.82064644e-02,TS
3,1386.335959,0.073103,-1.70971232e-02,6.72591402e-02,TS
3,1559.562883,0.073103,-1.61241194e-02,6.63538332e-02,TS
3,1754.435043,0.073103,-1.52146481e-02,6.54891505e-02,TS
3,1973.657075,0.073103,-1.43631665e-02,6.46638799e-02,TS
3,2220.271572,0.073103,-1.35648701e-02,6.38769180e-02,TS
3,2497.701306,0.073103,-1.28156404e-02,6.31271847e-02,TS
3,2809.796735,0.073103,-1.21119652e-02,6.24135430e-02,TS
3,3160.889444,0.073103,-1.14508385e-02,6.17347366e-02,TS
3,3555.852262,0.073103,-1.08296503e-02,6.10893532e-02,TS
3,4000.166894,0.073103,-1.02460786e-02,6.04758139e-02,TS
3,4500.000000,0.073103,-9.69798907e-03,5.98923848e-02,TS
3,300.000000,0.080690,-1.69175443e-02,-4.72837082e-01,TS
3,337.485919,0.080690,-1.60413394e-02,-4.73830415e-01,TS
3,379.655818,0.080690,-1.52109871e-02,-4.74777326e-01,TS
3,427.094976,0.080690,-1.44237723e-02,-4.75679329e-01,TS
3,480.461801,0.080690,-1.36771761e-02,-4.76538048e-01,TS
3,540.496975,0.080690,-1.29688147e-02,-4.77355178e-01,TS
3,608.033727,0.080690,-1.22963844e-02,-4.78132429e-01,TS
3,684.009404,0.080690,-1.16576328e-02,-4.78871442e-01,TS
3,769.478474,0.080690,-1.10503737e-02,-4.79573710e-01,TS
3,865.627167,0.080690,-1.04725464e-02,-4.80240509e-01,TS
3,973.789933,0.080690,-9.92230610e-03,-4.80872886e-01,TS
3,1095.467968,0.080690,-9.39811463e-03,-4.81471700e-01,TS
3,1232.350046,0.080690,-8.89880072e-03,-4.82037710e-01,TS
3,1386.335959,0.080690,-8.42357047e-03,-4.82571691e-01,TS
3,1559.562883,0.080690,-7.97196522e-03,-4.83074546e-01,TS
3,1754.435043,0.080690,-7.54377947e-03,-4.83547388e-01,TS
3,1973.657075,0.080690,-7.13895827e-03,-4.83991590e-01,TS
3,2220.271572,0.080690,-6.75749185e-03,-4.84408789e-01,TS
3,2497.701306,0.080690,-6.39931977e-03,-4.84800872e-01,TS
3,2809.796735,0.080690,-6.01019178e-03,1.21483678e-01,TS
3,3160.889444,0.080690,-5.46592452e-03,1.21119253e-01,TS
3,3555.852262,0.080690,-4.93789069e-03,1.20774158e-01,TS
3,4000.166894,0.080690,-4.42362648e-03,1.20446376e-01,TS
3,4500.000000,0.080690,-3.92072596e-03,1.20133481e-01,TS
3,300.000000,0.088276,-1.62816596e-02,1.83404125e-01,TS
3,337.485919,0.088276,-1.49150333e-02,1.82936544e-01,TS
3,379.655818,0.088276,-1.36654832e-02,1.82475420e-01,TS
3,427.094976,0.088276,-1.25175019e-02,1.82023470e-01,TS
3,480.461801,0.088276,-1.14577153e-02,1.81582843e-01,TS
3,540.496975,0.088276,-1.04744996e-02,1.81155158e-01,TS
3,608.033727,0.088276,-9.55767103e-03,1.80741533e-01,TS
3,684.009404,0.088276,-8.69822941e-03,1.80342612e-01,TS
3,769.478474,0.088276,-7.88814020e-03,1.79958587e-01,TS
3,865.627167,0.088276,-7.12014929e-03,1.79589224e-01,TS
3,973.789933,0.088276,-6.38763175e-03,1.79233888e-01,TS
3,1095.467968,0.088276,-5.68448234e-03,1.78891581e-01,TS
