Ma,Re_L,alpha_L,c_i
3,3160.889444,0.141379,1.83741046e-03
3,3160.889444,0.148966,1.62218257e-03
3,3160.889444,0.156552,1.96943427e-03
3,3160.889444,0.164138,1.57710425e-03
3,3160.889444,0.171724,9.27462526e-04
3,3160.889444,0.179310,5.53829091e-04
3,3160.889444,0.186897,4.21118330e-04
3,3160.889444,0.194483,3.75206375e-04
3,3160.889444,0.202069,3.99141466e-04
3,3160.889444,0.209655,6.50161279e-04
3,3160.889444,0.217241,4.68345071e-04
3,3160.889444,0.224828,1.65988798e-04
3,3160.889444,0.232414,1.01315425e-04
3,3160.889444,0.240000,3.82658136e-05
3,3555.852262,0.020000,
3,3555.852262,0.027586,-1.37866867e-02
3,3555.852262,0.035172,-7.25598995e-03
3,3555.852262,0.042759,1.63803886e-02
3,3555.852262,0.050345,1.91105394e-02
3,3555.852262,0.057931,1.26538554e-02
3,3555.852262,0.065517,9.33487862e-03
3,3555.852262,0.073103,-1.08296503e-02
3,3555.852262,0.080690,-4.93789069e-03
3,3555.852262,0.088276,7.06239193e-04
3,3555.852262,0.095862,4.82880839e-03
3,3555.852262,0.103448,5.47362293e-03
