Ma,Re_L,alpha_L,c_i
4,1386.335959,0.118621,9.78412847e-04
4,1386.335959,0.126207,1.14389579e-03
4,1386.335959,0.133793,8.78510289e-04
4,1386.335959,0.141379,5.49553972e-04
4,1386.335959,0.148966,3.25663670e-04
4,1386.335959,0.156552,1.98030559e-04
4,1386.335959,0.164138,2.51778254e-05
4,1386.335959,0.171724,-1.70902066e-04
4,1386.335959,0.179310,-3.04297377e-04
4,1386.335959,0.186897,-3.78313161e-04
4,1386.335959,0.194483,-4.19330326e-04
4,1386.335959,0.202069,-4.47339635e-04
4,1386.335959,0.209655,-7.47126298e-04
4,1386.335959,0.217241,-7.90328797e-04
4,1386.335959,0.224828,-8.10892263e-04
4,1386.335959,0.232414,-8.21784507e-04
4,1386.335959,0.240000,-8.30254570e-04
4,1559.562883,0.020000,-2.09594292e-02
4,1559.562883,0.027586,1.91402347e-02
4,1559.562883,0.035172,-2.52335082e-02
4,1559.562883,0.042759,-8.15642359e-03
4,1559.562883,0.050345,1.15539779e-03
4,1559.562883,0.057931,6.96428202e-03
4,1559.562883,0.065517,7.45054181e-03
4,1559.562883,0.073103,5.69583962e-03
4,1559.562883,0.080690,9.90940485e-04
4,1559.562883,0.088276,2.79557436e-03
4,1559.562883,0.095862,2.97696130e-03
4,1559.562883,0.103448,2.32089706e-03
4,1559.562883,0.111034,1.72713260e-03
4,1559.562883,0.118621,1.18513810e-03
4,1559.562883,0.126207,1.19937307e-03
4,1559.562883,0.133793,8.54529939e-04
4,1559.562883,0.141379,5.41312278e-04
4,1559.562883,0.148966,3.60421255e-04
4,1559.562883,0.156552,2.64254532e-04
4,1559.562883,0.164138,4.69830028e-05
4,1559.562883,0.171724,-1.38345314e-04
4,1559.562883,0.179310,-2.44319670e-04
4,1559.562883,0.186897,-2.97250277e-04
4,1559.562883,0.194483,-3.27431805e-04
4,1559.562883,0.202069,-3.51945386e-04
4,1559.562883,0.209655,-6.62198561e-04
4,1559.562883,0.217241,-6.90919761e-04
4,1559.562883,0.224828,-7.03769609e-04
4,1559.562883,0.232414,-7.12095293e-04
4,1559.562883,0.240000,-7.20949454e-04
4,1754.435043,0.020000,-1.79294692e-02
4,1754.435043,0.027586,2.05631784e-02
4,1754.435043,0.035172,-2.43548447e-02
4,1754.435043,0.042759,-7.79668054e-03
4,1754.435043,0.050345,1.96858489e-03
4,1754.435043,0.057931,7.43738472e-03
4,1754.435043,0.065517,7.32070442e-03
4,1754.435043,0.073103,5.43475036e-03
4,1754.435043,0.080690,1.40899951e-03
