freq_parameter,F_x1e4,lower_neutral_R_L,upper_neutral_R_L,peak_growth_R_L,peak_sigma_L,peak_wavelength_L,N_signed_peak,amplification_signed_peak,frequency_khz,F_times_1e4,x_mm,L_star_m,L_star_mm,sigma_per_m,sigma_per_mm,alpha_r_per_m,alpha_r_per_mm,alpha_i_per_m,alpha_i_per_mm,wavelength_mm,phase_speed_m_per_s,lower_neutral_x_mm,upper_neutral_x_mm,peak_growth_x_mm,peak_wavelength_mm
0.0001876874,1.876874,582.5929995753379,1120.2615114944788,926.8048937698131,0.003186762704748604,33.296302454906716,1.2600708764409703,3.5256713655484604,300.00004524237056,1.876874,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.96311543601621,107.09114995677707,73.2978756848183,2.6332923515076008
0.0001915975,1.9159750000000002,588.0412838070469,1097.7924109198275,909.0047910443657,0.0031655070275407116,33.24563021410033,1.2251532024316296,3.4046876492639795,306.2499596047741,1.9159750000000002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29.507362063448184,102.83837365065662,70.50941248851343,2.578787127748126
0.0001955077,1.955077,593.9906538930393,1075.9919299156268,891.204688318918,0.0031456721422689514,33.22497178181426,1.1919608612267525,3.2935330409797707,312.5000338074469,1.955077,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.107450071406138,98.79450274107488,67.77502345005932,2.526718352309885
0.0001994178,1.994178,599.3284074770265,1054.8790133250386,873.4045855934705,0.0031277765316057504,33.234138846765234,1.160414430433072,3.191255555522764,318.7499481698505,1.994178,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.650987993995823,94.9554848964659,65.09470856945612,2.4769352239169145
0.000203328,2.03328,603.2984888482571,1034.456926584741,855.6044828680231,0.0031116425172754776,33.273042022335545,1.1303936557193097,3.0968753629014154,325.00002237252323,2.03328,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.058410552934852,91.31446423955954,62.46846784670371,2.4292953079991055
0.0002072381,2.072381,605.298409123919,1014.8442526950649,837.8043801425754,0.0030964438299990607,33.34184047190764,1.1017539685259674,3.0094398603186816,331.2499367349269,2.072381,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.264667654319233,87.88475464305556,59.896301281802096,2.3836744824075864
0.0002111483,2.1114829999999998,605.0432320685879,995.9262199958332,820.0042774171279,0.003080720091068859,33.44078788691253,1.074338221522618,2.928054535748037,337.5000109375996,2.1114829999999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.238312573749813,84.63871946199131,57.378208874751344,2.3399542723793147
0.0002150584,2.150584,602.6870922294273,977.592331955129,802.2041746916805,0.003062410241416636,33.57036961758514,1.0480129365921924,2.851978421964117,343.74992530000316,2.150584,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.995491829947998,81.55119405728095,54.914190625551406,2.298030519797304
0.0002189686,2.189686,598.7702491417864,959.8199689043678,784.4040719662329,0.003038864862842818,33.73114714081443,1.0226673016735426,2.7806015847206615,349.99999950267596,2.189686,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.59392366073231,78.61298982042642,52.504246534202274,2.2578012132489444
0.0002228788,2.228788,594.0231242128865,942.5815760636206,766.6039692407853,0.0030068730248410938,33.923866087111804,0.9982133842845983,2.7134296392148887,356.25007370534865,2.228788,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.110741790719434,75.81456454329492,50.148376600703976,2.2191729765933266
0.0002267889,2.267889,589.1452383039757,925.8434743188582,766.6039692407853,0.0029970069491945753,33.27066151349117,0.9745635770518071,2.65001043321278,362.49998806775227,2.267889,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29.61825686945419,73.14588371131327,50.148376600703976,2.1764427661201524
0.0002306991,2.306991,582.4997138167914,909.648985097893,748.8038665153379,0.002986261970810143,33.50326547201836,0.9516495667252154,2.589978479815067,368.75006227042496,2.306991,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.953840934320382,70.60938520470759,47.84658082505651,2.1407697943255974
0.0002346092,2.346092,576.0347987342856,894.0948329888478,731.0037637898903,0.0029616041354899605,33.76919499589238,0.9294619581141438,2.533145872310777,374.9999766328286,2.346092,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.314714835908795,68.21532014200235,45.59885920725986,2.1064690011675378
0.0002385194,2.385194,570.1779194856639,878.9968492040448,731.0037637898903,0.002928678299394149,33.15317755136912,0.907914214153526,2.479146168877168,381.2500508355013,2.385194,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.741857808891464,65.93095829217616,45.59885920725986,2.0680428067846237
0.0002424295,2.424295,562.5464843087796,864.3041044951595,713.2036610644427,0.0029271013661764642,33.45798258863367,0.8869985969660145,2.4278318031366455,387.49996519790494,2.424295,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.004216502575638,63.74526081038535,43.405211747314034,2.0362357881479944
0.0002463397,2.463397,556.0395686628793,849.9561983304151,695.4035583389953,0.0029027724969306716,33.79845400788173,0.8667025212075943,2.379053028231629,393.75003940057763,2.463397,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.38311965031728,61.646417354657814,41.26563844521905,2.005619278722064
0.0002502498,2.502498,549.2532914026649,835.885792340014,695.4035583389953,0.0028741669179828642,33.2123188760497,0.8469056084138794,2.3324182582106543,399.99995376298136,2.502498,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.74305518748121,59.62228807414101,41.26563844521905,1.9708376901895093
